Deviation,Position,Temperature
0.1,1,303.96013541295804
0.1,2,303.97520158762705
0.1,3,303.9412440183283
0.1,4,304.41296827928267
0.1,5,304.68578261998834
0.1,6,304.8308930549395
0.1,7,305.14267705768225
0.1,8,305.44576346339755
0.1,9,305.4869044116534
0.1,10,305.53600260432
0.1,11,305.80635060050207
0.1,12,305.5810777840412
0.1,13,305.72668471788455
0.1,14,305.4019598498335
0.1,15,305.17086549116135
0.1,16,304.9636589928135
0.1,17,304.6070912569202
0.1,18,304.3821199914516
0.1,19,303.8674338933124
0.1,20,303.96808217845967
0.5,1,304.3996133351001
0.5,2,304.20622447492167
0.5,3,303.351705002954
0.5,4,304.75184268333146
0.5,5,305.01921968073987
0.5,6,304.6262720823462
0.5,7,305.1416436063566
0.5,8,305.76630413695403
0.5,9,305.29366278970645
0.5,10,305.1153455256044
0.5,11,306.3228775142557
0.5,12,305.3402210338641
0.5,13,306.4915503815684
0.5,14,305.5457327359415
0.5,15,305.2804554364066
0.5,16,305.2873463870017
0.5,17,304.62232575181025
0.5,18,304.5934205815418
0.5,19,302.97768250412753
0.5,20,304.1650001212978
1.0,1,304.9489607377777
1.0,2,304.49500308404
1.0,3,302.6147812337362
1.0,4,305.17543568839244
1.0,5,305.4360160066793
1.0,6,304.37049586660453
1.0,7,305.14035179219957
1.0,8,306.1669799788996
1.0,9,305.0521107622728
1.0,10,304.58952417721
1.0,11,306.9685361564477
1.0,12,305.0391500961428
1.0,13,307.44763246117316
1.0,14,305.7254488435766
1.0,15,305.41744286796325
1.0,16,305.6919556297369
1.0,17,304.64136887042275
1.0,18,304.8575463191546
1.0,19,301.86549326764646
1.0,20,304.4111475498455
5.0,1,309.3437399591986
5.0,2,306.80523195698623
5.0,3,296.7193910799938
5.0,4,308.56417972888033
5.0,5,308.7703866141947
5.0,6,302.3242861406712
5.0,7,305.1300172789431
5.0,8,309.3723867144642
5.0,9,303.1196945428031
5.0,10,300.38295339005447
5.0,11,312.1338052939838
5.0,12,302.6305825943721
5.0,13,315.0962890980115
5.0,14,307.16317770465713
5.0,15,306.513342320416
5.0,16,308.9288295716188
5.0,17,304.7937138193231
5.0,18,306.970552220057
5.0,19,292.96797937579777
5.0,20,306.38032697822695
10.0,1,314.8372139859747
10.0,2,309.69301804816905
10.0,3,289.3501533878157
10.0,4,312.8001097794902
10.0,5,312.93834987358895
10.0,6,299.7665239832545
10.0,7,305.1170991373726
10.0,8,313.3791451339199
10.0,9,300.704174268466
10.0,10,295.1247399061101
10.0,11,318.5903917159039
10.0,12,299.6198732171587
10.0,13,324.6571098940593
10.0,14,308.9603387810078
10.0,15,307.88321663598197
10.0,16,312.9749219989711
10.0,17,304.9841450054485
10.0,18,309.61180959618497
10.0,19,281.846087010987
10.0,20,308.8418012637038
50.0,1,358.78500620018326
50.0,2,332.7953067776315
50.0,3,230.39625185039114
50.0,4,346.687550184369
50.0,5,346.28205594874294
50.0,6,279.3044267239212
50.0,7,305.01375400480816
50.0,8,345.43321248956585
50.0,9,281.38001207376925
50.0,10,253.0590320345549
50.0,11,370.2430830912647
50.0,12,275.5341981994517
50.0,13,401.1436762624422
50.0,14,323.33762739181316
50.0,15,318.8422111605096
50.0,16,345.34366141778986
50.0,17,306.50759449445167
50.0,18,330.74186860520894
50.0,19,192.87094809250044
50.0,20,328.5335955475184
100.0,1,413.719746467944
100.0,2,361.67316768945955
100.0,3,156.70387492861047
100.0,4,389.0468506904675
100.0,5,387.9616885426854
100.0,6,253.72680514975457
100.0,7,304.8845725891026
100.0,8,385.50079668412326
100.0,9,257.2248093303984
100.0,10,200.47689719511092
100.0,11,434.8089473104657
100.0,12,245.42710442731794
100.0,13,496.7518842229209
100.0,14,341.3092381553198
100.0,15,332.5409543161692
100.0,16,385.80458569131326
100.0,17,308.4119063557056
100.0,18,357.1544423664888
100.0,19,81.65202444439225
100.0,20,353.14833840228675
250.0,1,578.5239672712262
250.0,2,448.30675042494374
250.0,3,-64.37325583673157
250.0,4,516.1247522087631
250.0,5,513.0005863245128
250.0,6,176.9939404272546
250.0,7,304.49702834198615
250.0,8,505.70354926779544
250.0,9,184.75920110028568
250.0,10,42.730492676778965
250.0,11,628.5065399680689
250.0,12,155.10582311091665
250.0,13,783.5765081043569
250.0,14,395.22407044583986
250.0,15,373.63718378314786
250.0,16,507.18735851188353
250.0,17,314.1248419394675
250.0,18,436.3921636503286
250.0,19,-252.00474649993225
250.0,20,426.99256696659165
