Theta 0,Theta 1,Theta 2,Theta 3,Theta 4,Theta 5,Theta 6,Theta 7,Theta 8,Theta 9,Theta 10,Theta 11,Theta 12,Theta 13,Theta 14,Theta 15,Theta 16,Theta 17,Theta 18,Theta 19,Theta 20,Theta 21,Theta 22,Theta 23,Theta 24,Theta 25,Theta 26,Theta 27,Theta 28,Theta 29,Theta 30,Theta 31,Theta 32,Theta 33,Theta 34,Theta 35,Theta 36,Theta 37,Theta 38,Theta 39,Theta 40,Theta 41,Theta 42,Theta 43,Theta 44,Theta 45,Theta 46,Theta 47,Theta 48,Theta 49,Theta 50,Theta 51,Theta 52,Theta 53,Theta 54,Theta 55,Theta 56,Theta 57,Theta 58,Theta 59,Theta 60,Theta 61,Theta 62,Theta 63,Theta 64,Theta 65,Theta 66,Theta 67,Theta 68,Theta 69,Theta 70,Theta 71,Theta 72,Theta 73,Theta 74,Theta 75,Theta 76,Theta 77,Theta 78,Theta 79
300.0000009802905,300.00000525028906,300.0000100536389,300.00001485638296,300.00001955508395,300.0000241297041,300.00002857636173,300.0000328943049,300.00003708338795,300.0000411435827,300.00004507488353,300.0000488772896,300.00005255080055,300.00005609541637,300.0000595111371,300.0000627979627,300.0000659558932,300.0000689849286,300.0000718850688,300.00007465631387,300.00007729866394,300.0000798121188,300.0000821966786,300.0000844523432,300.00008657911263,300.0000885769871,300.0000904459663,300.00009218605044,300.00009379723946,300.0000952795334,300.0000966329322,300.00009785743583,300.0000989530443,300.0000999197578,300.0001007575761,300.00010146649925,300.0001020465273,300.0001024976602,300.000102819898,300.0001030132407,300.00010307768827,300.0001030132407,300.000102819898,300.0001024976602,300.0001020465273,300.0001014664993,300.0001007575761,300.0000999197578,300.00009895304436,300.00009785743583,300.0000966329322,300.0000952795334,300.00009379723946,300.00009218605044,300.0000904459663,300.000088576987,300.0000865791127,300.0000844523432,300.00008219667853,300.0000798121188,300.00007729866394,300.0000746563138,300.00007188506873,300.0000689849286,300.0000659558932,300.0000627979627,300.00005951113707,300.00005609541637,300.00005255080055,300.0000488772896,300.0000450748836,300.0000411435833,300.0000370833911,300.000032894321,300.0000285764445,300.0000241301312,300.0000195572884,300.00001486776284,300.000010112383,300.0000055535336
300.0000372538331,300.0000513809268,300.00008408765325,300.0001214203167,300.00015929251964,300.0001965513294,300.00023287726566,300.0002681824089,300.00030244256345,300.00033565104115,300.00036780598003,300.0003989068571,300.000428953524,300.0004579459385,300.00048588408805,300.00051276796927,300.000538597581,300.000563372923,300.00058709399514,300.0006097607975,300.0006313733299,300.0006519315925,300.00067143558516,300.0006898853081,300.000707280761,300.00072362194396,300.00073890885704,300.0007531415004,300.0007663198739,300.0007784439774,300.0007895138112,300.000799529375,300.00080849066893,300.0008163976929,300.0008232504471,300.00082904893156,300.00083379314594,300.0008374830905,300.0008401187652,300.0008417001701,300.000842227305,300.00084170017004,300.0008401187652,300.0008374830905,300.0008337931459,300.0008290489315,300.0008232504472,300.000816397693,300.00080849066893,300.000799529375,300.0007895138111,300.0007784439774,300.0007663198739,300.00075314150047,300.0007389088571,300.00072362194396,300.000707280761,300.000689885308,300.00067143558516,300.0006519315925,300.0006313733299,300.00060976079743,300.00058709399514,300.000563372923,300.000538597581,300.0005127679694,300.0004858840886,300.00045794594047,300.0004289535309,300.0003989068806,300.0003678060609,300.00033565132026,300.00030244352644,300.000268185713,300.0002328884299,300.0001965878511,300.00015940429086,300.000121713607,300.00008453472594,300.00004960167144
300.00018344319295,300.00024087128656,300.00034215713947,300.0004723299612,300.0006125609778,300.0007539214517,300.00089299423394,300.00102858933127,300.00116031297756,300.0012880387691,300.0014117268839,300.001531364923,300.001646949054,300.00175847809743,300.00186595169106,300.0019693697239,300.0020687321619,300.0021640389945,300.0022552902186,300.00234248583314,300.0024256258378,300.00250471023253,300.0025797390173,300.00265071219206,300.0027176297569,300.0027804917117,300.0028392980565,300.0028940487913,300.00294474391603,300.002991383431,300.00303396733585,300.00307249563065,300.0031069683155,300.0031373853904,300.00316374685536,300.0031860527103,300.0032043029553,300.00321849759024,300.0032286366152,300.0032347200301,300.0032367478351,300.0032347200301,300.0032286366151,300.0032184975902,300.0032043029553,300.0031860527103,300.00316374685536,300.00313738539046,300.0031069683155,300.0030724956306,300.0030339673358,300.0029913834309,300.00294474391603,300.0028940487913,300.0028392980565,300.00278049171163,300.00271762975683,300.00265071219206,300.0025797390173,300.00250471023253,300.0024256258378,300.0023424858332,300.0022552902188,300.00216403899515,300.0020687321636,300.00196936972924,300.00186595170794,300.001758478151,300.0016469492232,300.0015313654521,300.00141172851573,300.0012880436994,300.00116032742653,300.00102862974336,300.000893098986,300.0007541579484,300.00061294800776,300.0004723433858,300.0003391833278,300.00023166758325
300.00055048840494,300.0006749039925,300.0009020576902,300.00119722607667,300.0015281357295,300.00187089888834,300.00221281923893,300.0025482465581,300.002874915266,300.003191975438,300.0034991222783,300.0037962498995,300.0040833223541,300.0043603276448,300.00462726181865,300.00488412358607,300.00513091252924,300.0053676285139,300.0055942714968,300.0058108414642,300.0060173384118,300.0062137623381,300.00640011324276,300.0065763911257,300.0067425959866,300.0068987278258,300.007044786643,300.00718077243835,300.0073066852118,300.00742252496343,300.00752829169323,300.0076239854011,300.007709606087,300.0077851537511,300.00785062839327,300.00790603001366,300.0079513586121,300.00798661418867,300.0080117967434,300.0080269062762,300.00803194278717,300.00802690627626,300.0080117967434,300.0079866141887,300.00795135861216,300.00790603001366,300.0078506283933,300.0077851537511,300.007709606087,300.0076239854011,300.00752829169323,300.0074225249635,300.00730668521186,300.00718077243835,300.00704478664295,300.0068987278257,300.0067425959866,300.0065763911257,300.00640011324276,300.0062137623382,300.00601733841205,300.0058108414649,300.00559427149886,300.0053676285202,300.0051309125488,300.00488412364524,300.0046272619957,300.00436032816737,300.0040833238701,300.0037962541979,300.0034991341008,300.0031920066278,300.00287499280324,300.00254842269476,300.0022131625552,300.0018713784407,300.00152816927533,300.00119465823866,300.00089242448865,300.0006489392941
300.0011822090024,300.00139736366754,300.00178527468154,300.0023016363718,300.0028934617337,300.00351921799034,300.00415224287605,300.00477814025976,300.0053900577905,300.0059850140596,300.0065617936683,300.007119924539,300.00765922992105,300.00817964549213,300.0086811483622,300.00916373052917,300.0096273892359,300.0100721235435,300.01049793313547,300.0109048179057,300.01129277781894,300.0116618128637,300.0120119230361,300.01234310833485,300.01265536875945,300.01294870431,300.0132231149863,300.0134786007884,300.0137151617163,300.0139327977699,300.0141315089493,300.01431129525446,300.0144721566854,300.01461409324213,300.0147371049246,300.01484119173296,300.01492635366697,300.01499259072676,300.0150399029123,300.01506829022367,300.0150777526608,300.01506829022367,300.01503990291235,300.01499259072676,300.01492635366697,300.01484119173296,300.0147371049246,300.0146140932421,300.0144721566853,300.0143112952544,300.0141315089492,300.01393279776977,300.01371516171616,300.01347860078835,300.01322311498626,300.01294870431,300.0126553687595,300.0123431083349,300.0120119230362,300.0116618128642,300.01129277782064,300.0109048179107,300.01049793315053,300.0100721235876,300.0096273893631,300.0091637308914,300.0086811493766,300.00817964827587,300.0076592373657,300.00711994381425,300.00656184152973,300.00598512647775,300.0053903022621,300.00477861437736,300.00415299989425,300.0035199789178,300.0028929124582,300.0022961981963,300.0017669361739,300.0013538102399
300.00207648448594,300.00238429417817,300.00295142206994,300.0037171706083,300.00461050867904,300.0055698629277,300.00655208870967,300.00753101114884,300.0084924939108,300.0094295820163,300.0103390967571,300.0112196674445,300.01207072973085,300.01289205972273,300.0136835712283,300.0144452318748,300.01517702974877,300.01587896054,300.01655102271144,300.0171932157215,300.01780553938136,300.0183879936258,300.01894057843236,300.0194632937935,300.0199561397066,300.02041911617096,300.02085222318607,300.02125546075183,300.02162882886836,300.0219723275355,300.0222859567534,300.02256971652196,300.02282360684114,300.0230476277111,300.0232417791317,300.02340606110295,300.023540473625,300.0236450166976,300.0237196903209,300.02376449449486,300.02377942921953,300.02376449449486,300.0237196903209,300.0236450166976,300.023540473625,300.02340606110306,300.0232417791317,300.0230476277111,300.02282360684126,300.022569716522,300.0222859567534,300.02197232753554,300.02162882886836,300.0212554607518,300.020852223186,300.02041911617096,300.0199561397068,300.01946329379393,300.01894057843344,300.01838799362895,300.01780553939045,300.01719321574745,300.01655102278454,300.0158789607429,300.0151770303036,300.0144452333654,300.0136835751485,300.0128920697749,300.0120707547315,300.01121972733733,300.0103392336953,300.00942987701785,300.0084930814327,300.0075320596372,300.0065536638532,300.00557151315627,300.0046103324559,300.00371011389626,300.0029275240951,300.00232736590476
300.0032059167955,300.00360661704383,300.00435772859373,300.0053860673965,300.0066016589592,300.0079234002076,300.0092904720411,300.01066305829374,300.0120176959643,300.0133417104495,300.0146287366526,300.0158757672304,300.01708145175166,300.0182452089987,300.01936679754266,300.02044612004704,300.0214831382473,300.0224778374205,300.0234302120054,300.0243402599342,300.0252079804487,300.0260333732743,300.02681643831227,300.02755717552765,300.02825558490827,300.02891166644974,300.02952542015043,300.0300968460099,300.0306259440281,300.0311127142049,300.0315571565401,300.031959271034,300.0323190576864,300.03263651649735,300.03291164746685,300.0331444505949,300.0333349258814,300.0334830733266,300.03358889293014,300.03365238469235,300.0336735486131,300.03365238469235,300.03358889293025,300.0334830733266,300.03333492588143,300.03314445059493,300.03291164746685,300.03263651649735,300.03231905768644,300.031959271034,300.0315571565401,300.03111271420477,300.0306259440281,300.03009684600994,300.02952542015043,300.02891166644986,300.0282555849089,300.02755717552935,300.02681643831704,300.02603337328765,300.0252079804857,300.02434026003465,300.0234302122743,300.0224778381299,300.02148314008497,300.0204461247106,300.01936680909694,300.01824523683416,300.0170815166307,300.01587591262285,300.0146290474269,300.0133423373862,300.01201887192656,300.01066506137744,300.00929343322457,300.0079267675205,300.00660306477386,300.0053795118861,300.00433127398566,300.00354200694585
300.0045454978798,300.0050350631393,300.0059704216816,300.0072650132612,300.0088118863482,300.0105108574632,300.01228337023804,300.0140750175259,300.0158516137351,300.01759333936224,300.0192894673301,300.02093452717475,300.0225258693288,300.0240622664466,300.02554317145484,300.0269683484734,300.02833769868084,300.0296511816961,300.03090878137334,300.03211049137815,300.0332563092664,300.0343462341089,300.03538026555714,300.0363584034817,300.03728064783513,300.03814699860015,300.0389574557705,300.039712019344,300.04041068931986,300.04105346569776,300.04164034847764,300.04217133765945,300.0426464332432,300.0430656352289,300.04342894361645,300.04373635840597,300.0439878795974,300.0441835071907,300.0443232411859,300.0444070815831,300.0444350283821,300.0444070815831,300.04432324118585,300.04418350719067,300.04398787959735,300.0437363584059,300.04342894361645,300.0430656352289,300.04264643324325,300.04217133765957,300.0416403484777,300.0410534656978,300.0404106893199,300.0397120193441,300.0389574557708,300.038146998601,300.03728064783746,300.0363584034881,300.0353802655745,300.03434623415507,300.03325630938787,300.0321104916936,300.0309087821792,300.0296511837188,300.02833770365726,300.0269683604435,300.0255431995155,300.02406233031735,300.02252600986816,300.02093482452955,300.0192900683383,300.01759448997245,300.01585367568526,300.0140784127787,300.01228833417156,300.01051680135134,300.0088161286443,300.00726073977324,300.005944479564,300.0049671992404
300.00606875294307,300.0066430249152,300.0077586432331,300.0093175327698,300.0111966695183,300.0132780066482,300.01546564889526,300.01769030875437,300.0199062463477,300.0220854398394,300.0242117903633,300.02627655676355,300.0282752247119,300.03020556422524,300.03206651634,300.0338575954349,300.03557858558406,300.0372293933651,300.03880997932384,300.04032032715185,300.0417604302351,300.04313028593697,300.0444298932222,300.0456592516896,300.04681836118584,300.04790722165285,300.04892583306884,300.04987419542584,300.0507523087209,300.05156017295286,300.05229778812145,300.05296515422634,300.0535622712676,300.05408913924526,300.0545457581592,300.0549321280094,300.05524824879603,300.0554941205189,300.0556697431781,300.0557751167736,300.05581024130544,300.05577511677365,300.0556697431781,300.0554941205189,300.05524824879603,300.0549321280094,300.0545457581591,300.05408913924526,300.05356227126765,300.0529651542263,300.0522977881214,300.0515601729529,300.0507523087211,300.04987419542624,300.04892583307,300.04790722165575,300.04681836119363,300.04565925170994,300.0444298932749,300.04313028607186,300.0417604305752,300.0403203279962,300.038809981385,300.037229398301,300.03557859715545,300.0338576219257,300.0320665753957,300.03020569200777,300.02827549206836,300.02627709527064,300.02421282890606,300.0220873442641,300.01990953479435,300.01769557594474,300.0154732694968,300.01328741222534,300.0112049580156,300.00931734796825,300.00773578884144,300.0065759133964
300.0077536524485,300.0084078125338,300.0096984052706,300.0115164112044,300.01372425413985,300.016187156939,300.0187926328703,300.02145662834204,300.02412144018274,300.026750120634,300.0293203900009,300.0318195089896,300.03424053310715,300.03657983666716,300.0388355992074,300.04100693835596,300.04309343982317,300.0450949145873,300.04701127860176,300.04884249535365,300.0505885493087,300.0522494339816,300.05382514671066,300.05531568642,300.056721052681,300.05804124532494,300.05927626428644,300.0604261095401,300.0614907810765,300.0624702788918,300.06336460298473,300.06417375335474,300.06489773000175,300.0655365329256,300.0660901621262,300.06655861760373,300.06694189935797,300.0672400073891,300.06745294169707,300.0675807022819,300.06762328914346,300.0675807022818,300.067452941697,300.0672400073891,300.066941899358,300.0665586176037,300.0660901621262,300.0655365329256,300.06489773000175,300.0641737533548,300.0633646029848,300.062470278892,300.061490781077,300.0604261095414,300.0592762642898,300.0580412453337,300.05672105270327,300.05531568647615,300.0538251468507,300.05224943432603,300.05058855014266,300.0488424973394,300.04701128324524,300.0450949252298,300.0430934636836,300.04100699056795,300.0388357104423,300.0365800667445,300.0342409936645,300.0318203978843,300.02932203664665,300.02675303125966,300.02412630946475,300.02146424264396,300.01880352771974,300.01620082083036,300.0137376519869,300.01152176041955,300.0096807868069,300.0083444534102
