Lambda,Deviation,Position,parameters,T
0,0.5,1,1636.702280076285,320.4953008451641
0,0.5,2,-436.60550127923614,320.49691937224696
0,0.5,3,-590.5977855729155,320.4988991259189
0,0.5,4,-5.453451714162377,320.5009780216321
0,0.5,5,-43.6547744364471,320.5029723867243
0,0.5,6,196.52902924900494,320.5047600432149
0,0.5,7,145.99313450477604,320.50626108584726
0,0.5,8,341.48925341177454,320.50742366746255
0,0.5,9,215.29107569644785,320.5082148153788
0,0.5,10,2206.7761043226433,320.5086149595734
0,0.5,11,412.6287965932087,320.5086149595735
0,0.5,12,635.3259899725197,320.5082148153794
0,0.5,13,305.20918583179645,320.5074236674635
0,0.5,14,424.8063212558939,320.5062610858482
0,0.5,15,173.0093308876066,320.50476004321644
0,0.5,16,228.16380288699443,320.5029723867262
0,0.5,17,-188.01132555427571,320.50097802163407
