Iteration,Lambda,Deviation,step_size,Morozov,Objective_Function,Tikhonov,Time_Spent
0,0,0.5,1.2058690773088367,5500.0,501234.9345624461,689405.7493384876,0.0
1,0,0.5,3.337718608864898,5500.0,317961.2327242477,1948208.2909815833,0.050469398498535156
2,0,0.5,1.2082282593712086,5500.0,207542.45618678775,3474566.6408547256,0.09851717948913574
3,0,0.5,3.3637741170906823,5500.0,140748.0312503796,4827662.243686994,0.14736509323120117
4,0,0.5,1.2129385292437287,5500.0,99675.77328482206,6120915.219155627,0.19669413566589355
5,0,0.5,3.4133425394839203,5500.0,74219.47717046902,7031609.909550286,0.24652719497680664
6,0,0.5,1.2207929443851577,5500.0,57940.084753994626,7949227.915012888,0.2969086170196533
7,0,0.5,3.5007567804776714,5500.0,47384.05691003383,8435167.745574405,0.34673547744750977
8,0,0.5,1.2321279332825095,5500.0,40172.0293878727,9060877.469546217,0.395416259765625
9,0,0.5,3.60360970099245,5500.0,35154.8907856886,9236706.009561617,0.44528865814208984
10,0,0.5,1.2443347375875573,5500.0,31430.02490610727,9673779.266476335,0.4953937530517578
11,0,0.5,3.696419464886502,5500.0,28607.22005556799,9650843.665130764,0.5464322566986084
12,0,0.5,1.2534071800592088,5500.0,26336.317423202625,9975019.786346056,0.5991034507751465
13,0,0.5,3.7584198225466015,5500.0,24481.426838618798,9841042.940553315,0.6463088989257812
14,0,0.5,1.2586881659976472,5500.0,22904.087181208524,10098244.804784726,0.6972572803497314
15,0,0.5,3.794139624495228,5500.0,21550.77849172053,9913553.131430713,0.747887372970581
16,0,0.5,1.2615902808866537,5500.0,20363.008617268984,10129373.09440296,0.7976586818695068
17,0,0.5,3.8146584934051297,5500.0,19315.492893214345,9929748.148312433,0.8534491062164307
18,0,0.5,1.2633792882182386,5500.0,18379.897322619865,10118226.729247533,0.9032411575317383
19,0,0.5,3.8277597087166817,5500.0,17541.94039338268,9922369.612701967,0.9531528949737549
20,0,0.5,1.2646590535968978,5500.0,16785.42747331382,10091436.846628793,1.002115249633789
21,0,0.5,3.8378171950918936,5500.0,16101.070263173522,9907831.64656195,1.0545682907104492
22,0,0.5,1.2656447777269249,5500.0,15478.407853006083,10062193.162510281,1.1035587787628174
23,0,0.5,3.8463765132841643,5500.0,14910.934354336008,9893904.737498827,1.1524138450622559
24,0,0.5,1.266466393651348,5500.0,14391.32945737647,10036525.675265258,1.2008075714111328
25,0,0.5,3.854022291560025,5500.0,13914.860254806854,9883869.170064948,1.253263235092163
26,0,0.5,1.267187430918874,5500.0,13476.176885749861,10016726.680256624,1.3013129234313965
27,0,0.5,3.861050583805287,5500.0,13071.813115923122,9878778.049788266,1.354637861251831
28,0,0.5,1.2678462946283897,5500.0,12697.693730250387,10003282.695650449,1.4046788215637207
29,0,0.5,3.8673084677450045,5500.0,12351.193279858186,9878623.555487448,1.4567992687225342
30,0,0.5,1.268447872173091,5500.0,12029.224894255362,9995813.163992977,1.507091999053955
31,0,0.5,3.8724002117327343,5500.0,11729.773462514013,9882939.48875025,1.5577001571655273
32,0,0.5,1.2690138350238713,5500.0,11450.46346812866,9993612.882480096,1.6085398197174072
33,0,0.5,3.877303707888989,5500.0,11189.710740259241,9891075.873485217,1.6588218212127686
34,0,0.5,1.269459038778308,5500.0,10945.641469589864,9995895.265018651,1.7158279418945312
35,0,0.5,3.8818725878502485,5500.0,10716.996949804163,9902400.342643829,1.7645106315612793
36,0,0.5,1.2699530373428323,5500.0,10502.299798393986,10001904.296815986,1.8193409442901611
37,0,0.5,3.8853250999850584,5500.0,10300.572220671333,9916317.911444692,1.8677401542663574
38,0,0.5,1.2703581128064994,5500.0,10110.639655782436,10010958.054496594,1.9182636737823486
39,0,0.5,3.8890818155394777,5500.0,9931.68260458162,9932292.258246407,1.967900037765503
40,0,0.5,1.2707255776398838,5500.0,9762.730576202504,10022473.927069232,2.0161166191101074
41,0,0.5,3.892330112701693,5500.0,9603.134685457935,9949874.6121241,2.065045118331909
42,0,0.5,1.2710442822676977,5500.0,9452.110846143623,10035946.8782604,2.117739677429199
43,0,0.5,3.895615645908583,5500.0,9309.12592181574,9968698.824303785,2.1702194213867188
44,0,0.5,1.2713289308482283,5500.0,9173.525744497829,10050974.552589912,2.218916177749634
45,0,0.5,3.898307700189848,5500.0,9044.870988804969,9988466.489531137,2.268794059753418
46,0,0.5,1.2716708460802886,5500.0,8922.622581809552,10067217.371591935,2.317708730697632
47,0,0.5,3.9004106008925055,5500.0,8806.41619388613,10008916.54157548,2.3680827617645264
48,0,0.5,1.2720059634372296,5500.0,8695.796468003642,10084390.645750316,2.4169468879699707
49,0,0.5,3.902328123338247,5500.0,8590.45417953958,10029845.809451602,2.4660961627960205
50,0,0.5,1.272222754949781,5500.0,8490.012558905526,10102268.857663894,2.5148062705993652
51,0,0.5,3.904998697160835,5500.0,8394.194989850064,10051103.024605326,2.5647480487823486
52,0,0.5,1.2724608576300411,5500.0,8302.676677431831,10120685.446835356,2.612511396408081
53,0,0.5,3.906785838749915,5500.0,8215.243217635061,10072566.484631602,2.6621341705322266
54,0,0.5,1.2726560697359224,5500.0,8131.617028313878,10139488.650013635,2.7101099491119385
55,0,0.5,3.9088221151187503,5500.0,8051.605679337503,10094129.990492424,2.763139247894287
56,0,0.5,1.2728767435952568,5500.0,7974.968486312144,10158564.556633404,2.81719708442688
57,0,0.5,3.9107074512518776,5500.0,7901.549734707253,10115712.700839091,2.8675918579101562
58,0,0.5,1.2730926701898113,5500.0,7831.134818898045,10177818.29784884,2.9162797927856445
59,0,0.5,3.912042286503878,5500.0,7763.58951454296,10137266.19644941,2.965928316116333
60,0,0.5,1.2732889113627497,5500.0,7698.7440941491595,10197182.439664736,3.0136241912841797
61,0,0.5,3.913318954104362,5500.0,7636.4635824893585,10158740.869556068,3.062479257583618
62,0,0.5,1.273495032992315,5500.0,7576.605116528252,10216595.658651536,3.1119906902313232
63,0,0.5,3.9141272968260585,5500.0,7519.0531809732165,10180104.709351229,3.1624600887298584
64,0,0.5,1.2737746015772955,5500.0,7463.679731906979,10236018.047928788,3.2104179859161377
65,0,0.5,3.914947404271949,5500.0,7410.390062347523,10201321.52545463,3.260711193084717
66,0,0.5,1.2738827463501676,5500.0,7359.071787034179,10255407.640529813,3.312530517578125
67,0,0.5,3.9163634017675153,5500.0,7309.623480964361,10222386.92953679,3.363096237182617
68,0,0.5,1.2740123778332817,5500.0,7261.9577201860175,10274745.349559844,3.412424087524414
69,0,0.5,3.9179603717675464,5500.0,7215.995862212803,10243285.405886052,3.4634063243865967
70,0,0.5,1.2740676299288072,5500.0,7171.652414520702,10294012.622106174,3.516367197036743
71,0,0.5,3.9196193541332396,5500.0,7128.852280962334,10264014.645248443,3.576641798019409
72,0,0.5,1.2741430621585956,5500.0,7087.523781052175,10313197.935033673,3.6265151500701904
73,0,0.5,3.9210641198093734,5500.0,7047.605970496084,10284562.978429621,3.6754062175750732
74,0,0.5,1.274156978537588,5500.0,7009.029657397223,10332280.160252383,3.7234995365142822
75,0,0.5,3.9234002194696442,5500.0,6971.74357751048,10304932.02333389,3.774381399154663
76,0,0.5,1.2740911815369795,5500.0,6935.684843416051,10351256.869858703,3.824542760848999
77,0,0.5,3.9259706187610224,5500.0,6900.805180580959,10325124.708990451,3.8748064041137695
78,0,0.5,1.2740893805865168,5500.0,6867.046364122416,10370130.307488717,3.926096200942993
79,0,0.5,3.926640122409688,5500.0,6834.370933975259,10345150.56174754,3.977583646774292
80,0,0.5,1.2742663748424172,5500.0,6802.733976751664,10388887.55441756,4.028235197067261
81,0,0.5,3.92785674515014,5500.0,6772.102621941569,10364981.679272072,4.078592777252197
82,0,0.5,1.274274404917781,5500.0,6742.42316048966,10407519.116044365,4.128207445144653
83,0,0.5,3.9284914380298033,5500.0,6713.660337961046,10384647.18680614,4.178848743438721
84,0,0.5,1.2743628915064038,5500.0,6685.782806724947,10426030.746999111,4.230247497558594
85,0,0.5,3.930739766477487,5500.0,6658.757121439603,10404127.56915073,4.287816524505615
86,0,0.5,1.274210014134576,5500.0,6632.5441840333615,10444418.841260511,4.340458393096924
87,0,0.5,3.932316327849643,5500.0,6607.108327006981,10423455.08884157,4.392043828964233
88,0,0.5,1.2742533235538092,5500.0,6582.430857503879,10462690.802831072,4.443601131439209
89,0,0.5,3.933461099889907,5500.0,6558.484279140582,10442604.461881246,4.492810249328613
90,0,0.5,1.274321856604044,5500.0,6535.2309686086855,10480833.320940945,4.544404983520508
91,0,0.5,3.9341424521091404,5500.0,6512.657796497767,10461586.8049993,4.596042633056641
92,0,0.5,1.274393670546117,5500.0,6490.7357797543655,10498849.585657028,4.645500183105469
