Theta 0,Theta 1,Theta 2,Theta 3,Theta 4,Theta 5,Theta 6,Theta 7,Theta 8,Theta 9,Theta 10,Theta 11,Theta 12,Theta 13,Theta 14,Theta 15,Theta 16,Theta 17,Theta 18,Theta 19,Theta 20,Theta 21,Theta 22,Theta 23,Theta 24,Theta 25,Theta 26,Theta 27,Theta 28,Theta 29,Theta 30,Theta 31,Theta 32,Theta 33,Theta 34,Theta 35,Theta 36,Theta 37,Theta 38,Theta 39,Theta 40,Theta 41,Theta 42,Theta 43,Theta 44,Theta 45,Theta 46,Theta 47,Theta 48,Theta 49,Theta 50,Theta 51,Theta 52,Theta 53,Theta 54,Theta 55,Theta 56,Theta 57,Theta 58,Theta 59,Theta 60,Theta 61,Theta 62,Theta 63,Theta 64,Theta 65,Theta 66,Theta 67,Theta 68,Theta 69,Theta 70,Theta 71,Theta 72,Theta 73,Theta 74,Theta 75,Theta 76,Theta 77,Theta 78,Theta 79
300.00009410864317,300.0001064315761,300.00011279492793,300.0001178998731,300.0001226571159,300.00012724307675,300.00013169193124,300.00013601030014,300.0001401994656,300.00014425967623,300.00014819098027,300.0001519933869,300.00015566689797,300.0001592115138,300.00016262723454,300.0001659140601,300.00016907199057,300.00017210102595,300.00017500116616,300.0001777724113,300.0001804147613,300.00018292821613,300.0001853127759,300.00018756844054,300.0001896952101,300.00019169308445,300.0001935620637,300.00019530214786,300.0001969133369,300.0001983956308,300.00019974902955,300.0002009735332,300.0002020691418,300.00020303585524,300.00020387367346,300.00020458259667,300.0002051626247,300.0002056137576,300.0002059359954,300.00020612933815,300.00020619378574,300.0002061293381,300.0002059359954,300.0002056137576,300.0002051626247,300.00020458259667,300.0002038736734,300.00020303585524,300.00020206914184,300.0002009735332,300.00019974902955,300.0001983956308,300.0001969133369,300.00019530214786,300.0001935620637,300.00019169308445,300.0001896952101,300.00018756844054,300.0001853127759,300.0001829282162,300.0001804147613,300.0001777724113,300.0001750011662,300.00017210102595,300.00016907199057,300.0001659140601,300.00016262723454,300.0001592115138,300.00015566689785,300.0001519933864,300.0001481909773,300.0001442596609,300.00014019938624,300.0001360098905,300.0001316898171,300.00012723216315,300.00012260077847,300.00011760905176,300.00011129367005,300.0000986818862
300.00075638423283,300.0008370611355,300.0009075724153,300.0009588280575,300.00100118351077,300.00103980829937,300.001076545211,300.0011119789507,300.0011462854352,300.00117951623645,300.0012116862952,300.0012427999235,300.00127285836675,300.00130186198624,300.00132981088717,300.0013567051003,300.0013825446348,300.00140732949336,300.00143105967675,300.00145373518507,300.0014753560188,300.0014959221775,300.00151543366167,300.0015338904708,300.0015512926052,300.0015676400648,300.0015829328496,300.0015971709595,300.00161035439464,300.0016224831549,300.00163355724044,300.0016435766512,300.00165254138705,300.00166045144806,300.0016673068344,300.00167310754586,300.00167785358246,300.0016815449443,300.0016841816314,300.0016857636436,300.001686290981,300.0016857636436,300.0016841816314,300.00168154494435,300.00167785358246,300.00167310754586,300.0016673068344,300.00166045144806,300.00165254138705,300.0016435766512,300.00163355724044,300.0016224831549,300.00161035439464,300.0015971709595,300.0015829328495,300.00156764006476,300.00155129260514,300.0015338904708,300.0015154336616,300.00149592217764,300.0014753560188,300.0014537351852,300.0014310596766,300.0014073294928,300.00138254463303,300.00135670509434,300.00132981086716,300.0013018619188,300.00127285813784,300.0012427991413,300.0012116836067,300.0011795069475,300.00114625322857,300.0011118672234,300.00107615936963,300.00103849321516,300.0009968268001,300.00094521349297,300.00087023020933,300.0007687464384
300.00287994768195,300.003193995228,300.00344869618846,300.00366145765065,300.0038383880648,300.00399420897975,300.00413860497764,300.0042761151359,300.0044085561246,300.00453659318373,300.0046604568698,300.00478022426574,300.0048959205262,300.0050075537247,300.00511512642294,300.00521863942737,300.00531809299036,300.0054134871909,300.0055048220534,300.00559209758546,300.00567531378937,300.00575447066603,300.0058295682156,300.00590060643805,300.0059675853335,300.006030504902,300.00608936514345,300.006144166058,300.0061949076455,300.0062415899059,300.00628421283943,300.0063227764459,300.0063572807254,300.00638772567794,300.0064141113035,300.0064364376019,300.0064547045734,300.0064689122179,300.00647906053536,300.00648514952593,300.0064871791894,300.00648514952593,300.00647906053536,300.0064689122178,300.00645470457346,300.0064364376019,300.0064141113034,300.006387725678,300.0063572807254,300.006322776446,300.00628421283943,300.006241589906,300.00619490764547,300.00614416605794,300.0060893651435,300.006030504902,300.0059675853335,300.00590060643793,300.0058295682154,300.00575447066575,300.0056753137889,300.0055920975838,300.005504822048,300.0054134871734,300.00531809293386,300.005218639245,300.00511512583614,300.00500755184106,300.0048959145007,300.0047802050896,300.00466039629856,300.00453640393005,300.0044079740258,300.0042743649767,300.00413351464,300.0039801165748,300.0038022097954,300.0035790157638,300.0032924266994,300.0029282252312
300.0072578466212,300.00794662241054,300.00854418538324,300.00905815834363,300.009506519224,300.0099056742631,300.01027239038757,300.0106181505468,300.01094909405003,300.0112680451248,300.0115761821071,300.01187396474324,300.0121615640123,300.0124390412933,300.0127064180414,300.0129637016047,300.0132108944601,300.0134479974323,300.013675010793,300.0138919346312,300.01409876897577,300.014295513836,300.0144821692149,300.01465873511347,300.0148252115319,300.01498159847046,300.0151278959291,300.01526410390784,300.0153902224066,300.0155062514255,300.0156121909645,300.0157080410236,300.01579380160274,300.0158694727021,300.01593505432146,300.0159905464609,300.0160359491205,300.01607126230016,300.0160964859999,300.01611162021976,300.0161166649597,300.01611162021976,300.0160964859999,300.01607126230016,300.0160359491205,300.0159905464609,300.01593505432146,300.01586947270204,300.0157938016028,300.0157080410236,300.01561219096453,300.01550625142556,300.01539022240655,300.0152641039077,300.0151278959291,300.0149815984705,300.01482521153184,300.01465873511313,300.0144821692141,300.01429551383364,300.0140987689686,300.0138919346087,300.0136750107228,300.0134479972147,300.013210893789,300.01296369954747,300.01270641178166,300.0124390224206,300.0121615077656,300.01187379953217,300.0115757057368,300.0112667037713,300.01094543145183,300.01060854444256,300.0102485032928,300.0098503383122,300.0093896774028,300.00883732825076,300.0081645711913,300.00735650216967
300.0139858660434,300.015101042242,300.0161093609441,300.01702076150684,300.01784442355256,300.01859599157007,300.0192922935041,300.01994818995183,300.02057395122443,300.02117546877446,300.0217557042881,300.02231601196587,300.02285696917187,300.02337880937233,300.02388162318425,300.02436544466315,300.02483028628103,300.0252761525115,300.02570304493133,300.02611096408907,300.0264999101731,300.02686988324723,300.02722088333314,300.02755291043826,300.0278659645648,300.0281600457136,300.028435153885,300.02869128907895,300.0289284512956,300.02914664053486,300.02934585679685,300.02952610008157,300.0296873703889,300.02982966771884,300.02995299207146,300.0300573434468,300.0301427218448,300.0302091272655,300.03025655970885,300.0302850191748,300.0302945056635,300.0302850191748,300.0302565597088,300.03020912726544,300.0301427218448,300.03005734344686,300.0299529920715,300.02982966771884,300.02968737038884,300.0295261000815,300.0293458567968,300.02914664053475,300.02892845129554,300.02869128907895,300.02843515388486,300.0281600457134,300.02786596456417,300.0275529104362,300.0272208833271,300.0268698832288,300.0264999101177,300.0261109639233,300.0257030444381,300.0252761510556,300.0248302820228,300.02436543234177,300.02388158798647,300.0233787103542,300.02285669570665,300.0223152733993,300.02175376315313,300.021170534435,300.0205619131095,300.0199202699254,300.0192314140811,300.01847259543365,300.0176136531337,300.01662174600136,300.0154717263871,300.0141579812296
300.02268921755564,300.0241850117636,300.0256028840619,300.0269369931077,300.0281862496776,300.02935441259876,300.0304518854573,300.031491209684,300.03248339432696,300.0334362151311,300.0343543562896,300.0352403249269,300.036095348073,300.0369199861817,300.03771448171295,300.03847893510124,300.03921338651037,300.03991785154386,300.0405923361198,300.04123684243785,300.0418513713019,300.04243592300173,300.04299049764006,300.0435150952533,300.04400971585403,300.0444743594465,300.0449090260324,300.04531371561205,300.0456884281858,300.04603316375363,300.0463479223154,300.0466327038714,300.0468875084215,300.0471123359657,300.04730718650404,300.0474720600365,300.04760695656296,300.0477118760836,300.04778681859835,300.0478317841072,300.04784677261017,300.0478317841072,300.0477868185984,300.04771187608367,300.047606956563,300.0474720600365,300.04730718650404,300.04711233596566,300.04688750842143,300.04663270387135,300.0463479223155,300.0460331637535,300.04568842818577,300.045313715612,300.0449090260319,300.04447435944525,300.04400971585005,300.0435150952417,300.042990497606,300.0424359229027,300.04185137101655,300.041236841622,300.040592333811,300.03991784508327,300.039213368664,300.0384788865362,300.03771435183745,300.03691964586557,300.03609447740683,300.0352381592929,300.03434914585205,300.0334241613962,300.0324567642615,300.031435429083,300.03034184518964,300.02915087708703,300.0278336280183,300.0263646425205,300.0247305143472,300.0229411520158
300.03294312803746,300.0347645409245,300.03656369189673,300.0383193315432,300.04001249364933,300.0416313014713,300.04317388101055,300.0446457111555,300.04605490564774,300.0474089233936,300.0487132138352,300.0499711986454,300.05118480069143,300.0523550123584,300.05348231252736,300.05456692011916,300.0556089308854,300.0566083852004,300.0575652995744,300.05847968058606,300.0593515307996,300.06018085119547,300.0609676421425,300.06171190377734,300.0624136361502,300.06307283927924,300.063689513171,300.0642636578277,300.0647952732502,300.0652843594387,300.06573091639336,300.06613494411425,300.06649644260136,300.06681541185475,300.06709185187435,300.06732576266006,300.06751714421216,300.06766599653037,300.0677723196148,300.06783611346543,300.06785737808235,300.0678361134655,300.0677723196148,300.06766599653037,300.0675171442121,300.0673257626601,300.0670918518743,300.06681541185475,300.0664964426014,300.0661349441142,300.06573091639336,300.06528435943864,300.0647952732499,300.06426365782687,300.0636895131687,300.0630728392728,300.0624136361318,300.06171190372515,300.06096764199617,300.06018085078875,300.05935152968004,300.058479677538,300.05756529138,300.0566083634834,300.0556088742571,300.05456677516537,300.0534819492556,300.05235412378636,300.05118268695423,300.049966328755,300.04870239711033,300.0473858758484,300.0460080314537,300.04455512165157,300.0430080567912,300.0413442441631,300.0395426078722,300.0375909252665,300.03549317709843,300.03328105937703
300.04440878092686,300.04650512813123,300.0486552530407,300.0508189683035,300.0529586029697,300.0550434569685,300.05705640249914,300.0589923392122,300.06085340075595,300.0626444482662,300.0643703142742,300.06603467888254,300.0676399423364,300.06918750913286,300.07067813602924,300.07211220493724,300.0734898985912,300.0748113006457,300.0760764480018,300.07728535643156,300.0784380324969,300.07953447886445,300.0805746965964,300.08155868610817,300.08248644755963,300.0833579810116,300.08417328648716,300.0849323639944,300.08563521353665,300.08628183511485,300.08687222872965,300.087406394381,300.087884332069,300.08830604179377,300.0886715235552,300.08898077735336,300.0892338031882,300.0894306010597,300.089571170968,300.08965551291294,300.08968362689455,300.089655512913,300.08957117096804,300.08943060105975,300.08923380318816,300.0889807773533,300.0886715235551,300.0883060417937,300.08788433206894,300.08740639438093,300.0868722287295,300.08628183511445,300.0856352135354,300.084932363991,300.0841732864779,300.08335798098625,300.0824864474899,300.08155868591854,300.0805746960864,300.0795344775071,300.07843802892756,300.0772853471719,300.0760764243398,300.07481124119397,300.0734897520191,300.07211185119377,300.07067730250674,300.06918559736755,300.0676356883458,300.0660255284258,300.0643513581498,300.06260676713157,300.06078176332335,300.0588624146136,300.05683195993294,300.0546743227451,300.0523801858225,300.04995423112615,300.0474208002828,300.04483337929685
300.05681242634995,300.0591405114746,300.06160951532536,300.06416164689296,300.06673953300515,300.0692928940662,300.071787521737,300.0742054885386,300.07654054876474,300.0787929020019,300.08096527616453,300.0830607083375,300.08508162585514,300.08702967104745,300.08890583951006,300.0907106875347,300.09244450660117,300.094107441629,300.0956995615819,300.0972208980816,300.09867146517263,300.10005126892304,300.1013603118922,300.1025985951369,300.1037661190853,300.1048628839084,300.10588888967305,300.10684413640524,300.107728624115,300.10854235280596,300.1092853224796,300.10995753313637,300.1105589847766,300.11108967740046,300.1115496110076,300.1119387855983,300.11225720117255,300.11250485773024,300.11268175527147,300.11278789379617,300.1128232733044,300.11278789379617,300.1126817552715,300.11250485773024,300.11225720117255,300.1119387855983,300.1115496110076,300.11108967740034,300.11055898477656,300.10995753313614,300.10928532247897,300.10854235280436,300.1077286241106,300.10684413639353,300.1058888896414,300.10486288382384,300.1037661188622,300.1025985945541,300.10136031038763,300.10005126508815,300.0986714555346,300.0972208742312,300.0956995035637,300.09410730314585,300.0924441829302,300.0907099484484,300.08890419481736,300.087026113927,300.08507416999385,300.0830456068503,300.08093580218446,300.0787376119969,300.0764410681138,300.07403405741155,300.0715047670353,300.06884643639256,300.0660640470203,300.0631809335106,300.0602423879989,300.0573238085593
300.06994792610175,300.0724726752979,300.0752323395483,300.07815205468825,300.08115550864574,300.084172736648,300.0871518053465,300.09006062450925,300.0928829005405,300.09561251012764,300.0982487042351,300.1007929109447,300.1032470007573,300.10561255375404,300.1078906785639,300.11008206912635,300.11218712562527,300.1142060645938,300.1161389972781,300.11798597840794,300.1197470339327,300.1214221757696,300.1230114092415,300.1245147366682,300.12593215903934,300.1272636767687,300.12850929002644,300.12966899888147,300.1307428033614,300.13173070347693,300.13263269923243,300.1334487906293,300.1341789776684,300.1348232603498,300.1353816386736,300.13585411263995,300.1362406822488,300.13654134750004,300.13675610839385,300.13688496493006,300.13692791710884,300.1368849649301,300.13675610839385,300.1365413475001,300.1362406822488,300.13585411263995,300.1353816386736,300.13482326034966,300.1341789776682,300.1334487906286,300.13263269923044,300.1317307034717,300.1307428033474,300.12966899884486,300.12850928993123,300.1272636765241,300.1259321584177,300.12451473510714,300.1230114053723,300.12142216631554,300.11974701119016,300.1179859246258,300.1161388724507,300.11420578074876,300.112186494511,300.1100806998841,300.1078877863384,300.10560661957084,300.1032352014578,300.1007702258775,300.0982066202678,300.09553730866475,300.09275363067167,300.0898470288605,300.0868126137612,300.08365480387687,300.080394199497,300.0770733046385,300.07375819495275,300.07054454200204
