Iteration,Lambda,Deviation,step_size,Morozov,Objective_Function,Tikhonov,Time_Spent
0,0,0.1,0.0001318801987353211,170.00000000000003,42013381.48220289,9766.323088598809,0.0
1,0,0.1,0.0006238905913269343,170.00000000000003,10096997.744904052,19320.99936301147,0.047550201416015625
2,0,0.1,0.0008002275575083148,170.00000000000003,4394210.584211797,16168.50951622324,0.09805822372436523
3,0,0.1,0.0007361568303260479,170.00000000000003,2470379.7101709745,22060.750385600273,0.1439380645751953
4,0,0.1,0.0006803349588816671,170.00000000000003,1769730.762610572,24125.76551370339,0.1886887550354004
5,0,0.1,0.0007441024148834887,170.00000000000003,1294674.9359572846,27684.139570728537,0.23310399055480957
6,0,0.1,0.0006429508881666624,170.00000000000003,1018974.4233883155,30033.7822775884,0.28325605392456055
7,0,0.1,0.0007496977855266342,170.00000000000003,811567.409616055,32163.715660602636,0.3280789852142334
8,0,0.1,0.0006297953467206604,170.00000000000003,673153.259445064,34123.28952226052,0.37212324142456055
9,0,0.1,0.0007522729399296243,170.00000000000003,564989.2113360019,35267.686401578474,0.4202589988708496
10,0,0.1,0.0006286062722551262,170.00000000000003,487512.9044531801,36752.842449390235,0.46811676025390625
11,0,0.1,0.000752529717032605,170.00000000000003,425143.74084539834,37222.86591824926,0.5118691921234131
12,0,0.1,0.0006343200282606128,170.00000000000003,377955.9316070888,38304.740514837235,0.5570898056030273
13,0,0.1,0.0007501020747199072,170.00000000000003,338695.55127609917,38334.94990602171,0.6061720848083496
14,0,0.1,0.0006437037219302407,170.00000000000003,307520.8606222858,39119.522838729376,0.6502072811126709
15,0,0.1,0.00074462749406104,170.00000000000003,280705.7970853402,38881.77564280663,0.7010555267333984
16,0,0.1,0.0006546850818081214,170.00000000000003,258539.50225803268,39464.69385736179,0.7453939914703369
17,0,0.1,0.000736539930336352,170.00000000000003,238929.46826740488,39078.052933568586,0.7907238006591797
18,0,0.1,0.0006662015446772156,170.00000000000003,222216.68333595723,39531.3421011801,0.8396251201629639
19,0,0.1,0.0007268122964343715,170.00000000000003,207121.27685754895,39072.739426026994,0.886202335357666
20,0,0.1,0.0006778009259378571,170.00000000000003,193972.4472883576,39445.49767564736,0.9340505599975586
21,0,0.1,0.0007163837394219937,170.00000000000003,181923.60665212164,38961.589872949604,0.9840772151947021
22,0,0.1,0.0006893353931634415,170.00000000000003,171264.557366416,39285.55609326699,1.0318984985351562
23,0,0.1,0.000705748936223306,170.00000000000003,161398.95326320786,38802.743803487894,1.0796680450439453
24,0,0.1,0.0007007391436060843,170.00000000000003,152571.95467214703,39096.79875928543,1.1274149417877197
25,0,0.1,0.0006954663529415616,170.00000000000003,144343.63314723218,38629.40331232429,1.173457145690918
26,0,0.1,0.0007119064194337875,170.00000000000003,136915.90832270414,38905.68764068143,1.2245185375213623
27,0,0.1,0.0006857330820607931,170.00000000000003,129953.53277334983,38460.018179862476,1.2692022323608398
28,0,0.1,0.0007225670593730993,170.00000000000003,123625.38583378028,38725.34387851799,1.3143301010131836
29,0,0.1,0.0006765355182380492,170.00000000000003,117668.34854010215,38303.99882923884,1.358750581741333
30,0,0.1,0.0007331416978529524,170.00000000000003,112220.34537933496,38562.72106936045,1.402491807937622
31,0,0.1,0.0006677331976389031,170.00000000000003,107072.68615023332,38165.65242406242,1.447117805480957
32,0,0.1,0.000743379281166475,170.00000000000003,102341.82165741887,38419.09513987504,1.4909186363220215
33,0,0.1,0.0006595415761036075,170.00000000000003,97858.85925724475,38045.366683731394,1.5344533920288086
34,0,0.1,0.0007532040641368579,170.00000000000003,93719.11664581895,38295.10886848344,1.5805017948150635
35,0,0.1,0.0006519263974409312,170.00000000000003,89785.76519563328,37943.17834557539,1.6272602081298828
36,0,0.1,0.0007626545709586516,170.00000000000003,86138.60892374231,38189.811879147404,1.672154188156128
37,0,0.1,0.0006447963151638374,170.00000000000003,82664.88854781458,37857.84119481352,1.7173445224761963
38,0,0.1,0.0007717462547796248,170.00000000000003,79432.00420861524,38101.60830980975,1.76383376121521
39,0,0.1,0.0006381144817432361,170.00000000000003,76346.0404702093,37787.97143252892,1.810807704925537
40,0,0.1,0.0007804901016703563,170.00000000000003,73464.28576020393,38028.90579156632,1.8578453063964844
41,0,0.1,0.0006318804451823853,170.00000000000003,70707.97459452215,37731.920612057074,1.903627634048462
42,0,0.1,0.0007888758872945656,170.00000000000003,68126.03169395155,37970.072076186036,1.9517276287078857
43,0,0.1,0.0006260317583725966,170.00000000000003,65651.91856986098,37688.25361003177,1.9975931644439697
44,0,0.1,0.0007969223463383829,170.00000000000003,63327.66822105188,37923.582634866754,2.045412540435791
45,0,0.1,0.0006205549877811737,170.00000000000003,61096.65078464953,37655.621129186286,2.0954220294952393
46,0,0.1,0.0008046183946034436,170.00000000000003,58995.22539760265,37888.04193482801,2.145822763442993
47,0,0.1,0.0006154258501077322,170.00000000000003,56974.944952511636,37632.734910964624,2.2127127647399902
48,0,0.1,0.0008120031257078186,170.00000000000003,55067.288421445824,37862.28763092025,2.2666015625
49,0,0.1,0.0006106054251215347,170.00000000000003,53230.62850004523,37618.59703085928,2.312654733657837
50,0,0.1,0.0008190764424032176,170.00000000000003,51492.4319175577,37845.281349639736,2.356675624847412
51,0,0.1,0.0006060888599686345,170.00000000000003,49816.618039916735,37612.26915327852,2.402393102645874
52,0,0.1,0.000825871156573554,170.00000000000003,48227.32905765744,37836.09053677946,2.447303295135498
53,0,0.1,0.0006018206560102085,170.00000000000003,46693.15900883279,37612.93396639862,2.4903056621551514
54,0,0.1,0.0008323821160997744,170.00000000000003,45235.34354615105,37833.92426243769,2.535784959793091
55,0,0.1,0.0005978381939899263,170.00000000000003,43826.47546427754,37619.90594274518,2.5811054706573486
56,0,0.1,0.0008385887134533911,170.00000000000003,42485.3388831329,37838.12713954063,2.626540422439575
57,0,0.1,0.0005940782051972212,170.00000000000003,41187.86930544364,37632.61714066885,2.676039457321167
58,0,0.1,0.0008445718341170196,170.00000000000003,39950.72024136559,37848.10760555446,2.7198984622955322
59,0,0.1,0.0005905468092541789,170.00000000000003,38752.68320402924,37650.52307860231,2.761746644973755
60,0,0.1,0.000850213741746897,170.00000000000003,37608.53079280794,37863.308465644805,2.8053104877471924
61,0,0.1,0.0005872444516875963,170.00000000000003,36499.63775501858,37673.17921938069,2.851343870162964
62,0,0.1,0.0008556572570445546,170.00000000000003,35439.19043434881,37883.35438956833,2.896942615509033
63,0,0.1,0.0005827630430952999,170.00000000000003,34410.558351539774,37700.60570675683,2.942629098892212
64,0,0.1,0.0008710922869611366,170.00000000000003,33427.670601394835,37910.395954946966,2.991196632385254
65,0,0.1,0.0005707109399849976,170.00000000000003,32470.24672082477,37732.27539482227,3.0377981662750244
66,0,0.1,0.0008897164746460367,170.00000000000003,31545.246535031358,37938.20812194316,3.083462715148926
67,0,0.1,0.0005679381760389157,170.00000000000003,30646.728460763476,37766.62982122538,3.127359628677368
68,0,0.1,0.0008950808264528613,170.00000000000003,29784.668194076363,37970.487655852376,3.1736717224121094
69,0,0.1,0.0005652626133208091,170.00000000000003,28946.803751262338,37804.982874994785,3.223755359649658
70,0,0.1,0.0009002385905329561,170.00000000000003,28142.103504081373,38006.62550934212,3.2695794105529785
71,0,0.1,0.0005627489876299085,170.00000000000003,27359.540957818346,37846.81623295728,3.319650650024414
72,0,0.1,0.0009051685452055833,170.00000000000003,26607.269311217522,38046.1804662874,3.3648624420166016
73,0,0.1,0.0005603682612235347,170.00000000000003,25875.349500355027,37891.74821441291,3.409400701522827
74,0,0.1,0.000909895114028196,170.00000000000003,25171.15009691029,38088.8124949102,3.4543306827545166
75,0,0.1,0.0005581144330903991,170.00000000000003,24485.71658080518,37939.502364584296,3.5000364780426025
76,0,0.1,0.0009144580910051225,170.00000000000003,23825.75874971579,38134.27366174365,3.544893980026245
77,0,0.1,0.0005559924945188321,170.00000000000003,23183.10917774531,37989.8430775498,3.5884149074554443
78,0,0.1,0.00091878512307512,170.00000000000003,22563.901526977243,38182.32577752963,3.633134365081787
79,0,0.1,0.0005539984321913771,170.00000000000003,21960.744651079705,38042.57334297927,3.678353786468506
80,0,0.1,0.0009229266284603792,170.00000000000003,21379.211929516052,38232.78034102914,3.7251272201538086
81,0,0.1,0.0005521058123378361,170.00000000000003,20812.576059223305,38097.50039321488,3.7701971530914307
82,0,0.1,0.0009269231935336262,170.00000000000003,20265.925149458562,38285.43784703185,3.8145675659179688
