Iteration,Lambda,Deviation,step_size,Morozov,Objective_Function,Tikhonov,Time_Spent
0,0,0.1,1.0658615934421399e-08,2592.0000000000005,357529844963.2898,5033.912745430005,0.0
1,0,0.1,3.13446192140826e-08,2592.0000000000005,21967040076.18894,8951.785065712245,1.275308609008789
2,0,0.1,1.3308137201071547e-07,2592.0000000000005,4363078662.694354,10239.293697762143,2.5839266777038574
3,0,0.1,6.725799100293971e-08,2592.0000000000005,3097975307.9907775,8519.115477113466,3.7114222049713135
4,0,0.1,2.790530799178537e-07,2592.0000000000005,2072592979.5929916,11600.32657750056,4.753787517547607
5,0,0.1,4.9759505098818815e-08,2592.0000000000005,1449660332.9143507,10613.604599290535,5.961027145385742
6,0,0.1,4.3682579411220277e-07,2592.0000000000005,809421888.4806409,14519.735480126554,7.29567551612854
7,0,0.1,4.395438848233201e-08,2592.0000000000005,498158102.11236066,14082.086426568729,8.626070261001587
8,0,0.1,4.89924752466981e-07,2592.0000000000005,273492766.22291684,16521.131930120544,9.706243515014648
9,0,0.1,4.248643484624555e-08,2592.0000000000005,178276106.63899374,16349.230930349808,10.876175880432129
10,0,0.1,5.019078074979985e-07,2592.0000000000005,122156998.80970852,17537.809576989453,12.10049033164978
11,0,0.1,4.2299225707952966e-08,2592.0000000000005,95152470.7407719,17452.899088164228,13.122853517532349
12,0,0.1,5.086449059995102e-07,2592.0000000000005,80183905.94406629,17928.40397980651,14.14650583267212
13,0,0.1,4.2587166539756786e-08,2592.0000000000005,72225717.26226749,17873.007033949394,15.185186624526978
14,0,0.1,5.31032931464454e-07,2592.0000000000005,67705744.09749664,17971.079056698,16.192684650421143
15,0,0.1,4.3173480470549625e-08,2592.0000000000005,64906784.44810631,17924.144173040982,17.200992345809937
16,0,0.1,5.698460902584802e-07,2592.0000000000005,63094403.38871177,17809.701380903436,18.253471851348877
17,0,0.1,4.381538410219685e-08,2592.0000000000005,61689994.12378442,17763.390909856877,19.31504726409912
18,0,0.1,5.909193273524046e-07,2592.0000000000005,60557303.93342581,17534.722224496814,20.352588653564453
19,0,0.1,4.4311775108024485e-08,2592.0000000000005,59532462.641277865,17488.057598589723,21.353632926940918
20,0,0.1,5.918036113102172e-07,2592.0000000000005,58573212.49553546,17215.196735501137,22.415610551834106
21,0,0.1,4.473176286621267e-08,2592.0000000000005,57663690.2258804,17169.14678697449,23.495871782302856
22,0,0.1,5.869727696092784e-07,2592.0000000000005,56774493.84724887,16886.20522552882,24.54005217552185
23,0,0.1,4.512685872140285e-08,2592.0000000000005,55923007.66270212,16841.439649561114,25.535120010375977
24,0,0.1,5.812139340057341e-07,2592.0000000000005,55083414.518745944,16561.77955723241,26.518654108047485
25,0,0.1,4.550999666656062e-08,2592.0000000000005,54277486.61998549,16518.563936561666,27.49813747406006
26,0,0.1,5.755263867117213e-07,2592.0000000000005,53481499.49175096,16246.782218499278,28.498576641082764
27,0,0.1,4.588379601513543e-08,2592.0000000000005,52716541.920253776,16205.18064934589,29.490604877471924
28,0,0.1,5.700049353097907e-07,2592.0000000000005,51960666.62773711,15942.82410649145,30.588118314743042
29,0,0.1,4.62493701234581e-08,2592.0000000000005,51233654.168985486,15902.813382051541,31.652751207351685
30,0,0.1,5.646635334171723e-07,2592.0000000000005,50515079.163928576,15650.138188474328,32.713170289993286
31,0,0.1,4.660714875434935e-08,2592.0000000000005,49823425.68312997,15611.660302915796,33.74185514450073
32,0,0.1,5.595301848870408e-07,2592.0000000000005,49139632.7741996,15368.29394752101,34.73897123336792
